"collocation","count","count_nested","length","lambda","z"
"win hillari",2,0,2,0.389513386131387,0.614038071239843
"clinton obama",2,0,2,0.375339534860577,0.59151462715956
"say hillari",2,0,2,0.373917090002891,0.589463526167014
"vote clinton",2,0,2,0.364667949328133,0.574699019768891
"hillari total",2,0,2,0.35210742248679,0.555111306203757
"clinton can",2,0,2,0.339463684624485,0.534993234427411
"clinton one",2,0,2,0.305503601900053,0.481486275473694
"clinton run",2,0,2,0.260847447212739,0.411121425059053
"clinton peopl",3,0,2,0.183146051042384,0.34123707228743
"hillari onli",2,0,2,0.20955460760454,0.33043100453761
"like hillari",3,0,2,0.169234149826179,0.315531986532765
"hillari know",2,0,2,0.18967376723296,0.299089355913821
"like clinton",2,0,2,0.183302771653698,0.288918854048102
"hillari see",2,0,2,0.164677229954223,0.259680699332563
"hillari much",2,0,2,0.148351644046187,0.233941050623295
"hillari america",3,0,2,0.0914981701956687,0.170627446606628
"mani hillari",2,0,2,0.0760835438159093,0.119981738418677
"hillari presid",5,0,2,0.0310355550414529,0.0724656652565207
"hillari now",3,0,2,0.0301796141009198,0.0562830021129571
"clinton go",2,0,2,0.0315118291292347,0.0496739488904922
"hillari look",2,0,2,0.0249001964999174,0.0392710915603052
"look hillari",2,0,2,-0.0513006219092977,-0.0809088999361084
"hillari vote",2,0,2,-0.155299968029667,-0.244969503418388
"now hillari",2,0,2,-0.205801373144718,-0.324618931084165
"trump hillari",7,0,2,-0.137588658508407,-0.374607991615803
"go hillari",2,0,2,-0.332608569952062,-0.524681824325231
"hillari time",2,0,2,-0.3478961987417,-0.548848987891121
"clinton trump",4,0,2,-0.34299108814806,-0.724150968904518
"hillari veri",2,0,2,-0.499667743795258,-0.788362511446975
"hillari peopl",2,0,2,-0.592234561539656,-0.934460116134749
"clinton great",3,0,2,-0.681078363945075,-1.26952717632043
"realdonaldtrump hillari",4,0,2,-1.20093537415422,-2.53915643221323
